Word;lg10cd
saw;3,8075
watch;3,7696
phone;3,6535
stick;3,4765
road;3,442
window;3,3879
list;3,3379
fly;3,3259
ring;3,3172
sun;3,2918
suit;3,2885
rock;3,2801
lock;3,2711
star;3,2605
letter;3,2453
fish;3,2327
radio;3,2109
shirt;3,1464
ship;3,066
fan;3,0406
wood;2,8779
sandwich;2,8745
wallet;2,8388
socks;2,738
snake;2,7218
remote;2,6998
flag;2,6972
whistle;2,6758
wagon;2,6712
sword;2,6656
rabbit;2,6513
fries;2,617
shell;2,6064
fridge;2,5944
sheep;2,5944
skirt;2,5866
lamp;2,5855
wolf;2,5763
shorts;2,5527
rug;2,5502
lemon;2,5378
lipstick;2,5211
lion;2,5172
lamb;2,5092
fork;2,5011
ladder;2,4969
rocket;2,4609
frog;2,4346
shark;2,4133
shovel;2,4031
feather;2,3655
whale;2,3655
scissors;2,3181
lobster;2,3054
strawberry;2,2227
scarf;2,2201
squirrel;2,2201
ribbon;2,1959
ruler;2,143
wool;2,1206
lettuce;2,0934
lizard;2,0645
ramp;2,0086
leopard;1,9294
flute;1,8573
raspberry;1,8573
waffle;1,8573
watermelon;1,8388
waterfall;1,8325
walnut;1,7709
snail;1,7404
fig;1,6628
rhino;1,6128
windmill;1,6021
skyscraper;1,5315
sunflower;1,3979
ladybug;1,1461
