Word;Code;Freq;Zipf
fairy;7;96,20253165;4,222273737
leg;8;96,15384615;4,751678785
shower;9;100;4,613639626
lion;15;100;4,186150205
skeleton;20;100;3,710135433
farm;30;100;4,477376297
spider;38;97,5;4,004483844
screwdriver;46;90,78947368;3,402423852
saw;52;92,30769231;5,604180781
shadow;55;100;4,325659836
stamp;57;87,34177215;3,773276771
roof;66;96,1038961;4,551666841
wave;73;96,05263158;4,32726388
river;86;91,89189189;4,743620578
robot;87;100;4,085624527
seal;92;91,02564103;4,168629118
feather;97;94,93670886;3,82203384
saxophone;107;85,8974359;3,231353395
lung;112;97,43589744;3,916116238
lake;113;97,33333333;4,555943298
fruit;114;100;4,336765688
fire;116;100;5,33287135
lemon;129;100;4,080002513
faucet;140;86,48648649;3,161065862
snail;152;97,5;3,250875534
road;164;91,13924051;5,04847025
witch;184;100;4,441361156
rain;190;85,71428571;4,688904692
salad;191;100;4,230853919
skirt;199;100;3,998551924
scar;207;83,11688312;3,928322038
seagull;220;85,71428571;3,091174692
wall;227;81,01265823;4,848859865
woman;239;82,19178082;5,637541063
root;245;92,5;4,020187924
lizard;252;96,20253165;3,686285823
shovel;255;100;3,835902186
wig;277;93,58974359;3,922262017
flag;295;91,25;4,242685601
sword;301;100;4,4176406
wing;307;92,30769231;4,305934464
razor;311;97,4025974;3,838376806
flower;312;100;4,35704027
soldier;317;85,52631579;4,589813386
leaf;318;96,25;3,716715779
ruler;336;100;3,504021747
lock;349;91,25;4,752130469
fan;368;94,80519481;4,545414432
scorpion;370;97,46835443;3,428554709
lobster;378;100;3,86586541
strawberry;381;100;3,743620578
fist;411;100;3,867021987
factory;412;92,10526316;4,22532143
lamp;414;97,5;4,110060036
sock;416;100;3,953646828
sausage;441;93,24324324;3,891717214
star;447;100;4,909882239
watch;452;89,87341772;5,517969865
scissors;453;100;3,825860248
foot;455;93,75;4,81192447
fly;462;88,75;4,928923416
square;472;87,83783784;4,501617157
sink;478;100;4,228347885
rose;480;100;4,724001412
squirrel;484;100;3,738992173
sun;488;100;4,842551566
rug;491;89,74358974;4,017745774
skunk;493;100;3,514550613
shield;501;96,20253165;3,914048165
lightning;506;97,4025974;4,15037134
face;510;97,5;5,460567271
lips;513;100;4,493504322
submarine;514;93,67088608;3,851740767
rope;517;100;4,355917578
fox;521;100;4,334409655
swan;528;97,5;3,834659569
walrus;529;97,36842105;3,055262136
fence;530;96,15384615;4,205647995
shark;533;100;4,175495577
fingerprint;537;96,20253165;3,50667799
lighthouse;540;100;3,490491229
shoe;541;88,31168831;4,48244594
snake;549;100;4,349119787
wolf;557;85,8974359;4,306774492
lighter;558;96;3,95269962
watermelon;560;100;3,344912586
spoon;564;100;3,881783743
lettuce;592;87,17948718;3,53238339
window;597;89,18918919;4,934001777
sweater;607;97,33333333;4,140023259
soap;619;84,61538462;4,181695863
sled;625;88,46153846;3,467925401
scarf;628;100;3,672045384
funnel;633;100;3,047708998
sheep;636;91,25;4,128158258
sponge;650;83,78378378;3,827128262
radio;659;83,78378378;4,886999557
fork;673;100;3,946010684
windmill;675;100;3,111378078
rocket;681;93,58974359;4,073589517
whale;724;94,80519481;4,051501987
waiter;726;88,75;4,120494039
scarecrow;743;100;3,246076652
well;745;97,5;6,475172328
